district,age,sex,rural,urban,total
ATTOCK DISTRICT,48,Female,6916,2314,9230
ATTOCK DISTRICT,48,Transgender,1,0,1
ATTOCK DISTRICT,49,Male,6364,2225,8589
ATTOCK DISTRICT,49,Female,7095,2302,9397
ATTOCK DISTRICT,49,Transgender,1,2,3
ATTOCK DISTRICT,50,Male,5348,1911,7259
ATTOCK DISTRICT,50,Female,5806,2021,7827
ATTOCK DISTRICT,50,Transgender,2,0,2
ATTOCK DISTRICT,51,Male,6328,2174,8502
ATTOCK DISTRICT,51,Female,6786,2111,8897
ATTOCK DISTRICT,51,Transgender,0,0,0
ATTOCK DISTRICT,52,Male,5888,1986,7874
ATTOCK DISTRICT,52,Female,5762,1873,7635
ATTOCK DISTRICT,52,Transgender,0,0,0
ATTOCK DISTRICT,53,Male,6411,2127,8538
ATTOCK DISTRICT,53,Female,6290,2006,8296
ATTOCK DISTRICT,53,Transgender,2,0,2
ATTOCK DISTRICT,54,Male,5864,1944,7808
ATTOCK DISTRICT,54,Female,5519,1757,7276
ATTOCK DISTRICT,54,Transgender,0,0,0
ATTOCK DISTRICT,55,Male,4510,1665,6175
ATTOCK DISTRICT,55,Female,3857,1378,5235
ATTOCK DISTRICT,55,Transgender,3,0,3
ATTOCK DISTRICT,56,Male,4989,1760,6749
ATTOCK DISTRICT,56,Female,4438,1320,5758
ATTOCK DISTRICT,56,Transgender,2,0,2
ATTOCK DISTRICT,57,Male,4309,1585,5894
ATTOCK DISTRICT,57,Female,3657,1069,4726
ATTOCK DISTRICT,57,Transgender,1,1,2
ATTOCK DISTRICT,58,Male,4375,1456,5831
ATTOCK DISTRICT,58,Female,4141,1276,5417
ATTOCK DISTRICT,58,Transgender,1,0,1
ATTOCK DISTRICT,59,Male,4089,1380,5469
ATTOCK DISTRICT,59,Female,4110,1225,5335
ATTOCK DISTRICT,59,Transgender,0,0,0
ATTOCK DISTRICT,60,Male,3483,1159,4642
ATTOCK DISTRICT,60,Female,3547,1089,4636
ATTOCK DISTRICT,60,Transgender,2,1,3
ATTOCK DISTRICT,61,Male,4495,1428,5923
ATTOCK DISTRICT,61,Female,4655,1339,5994
ATTOCK DISTRICT,61,Transgender,2,0,2
ATTOCK DISTRICT,62,Male,4280,1304,5584
ATTOCK DISTRICT,62,Female,4161,1221,5382
ATTOCK DISTRICT,62,Transgender,1,0,1
ATTOCK DISTRICT,63,Male,4308,1284,5592
ATTOCK DISTRICT,63,Female,4226,1236,5462
ATTOCK DISTRICT,63,Transgender,1,0,1
ATTOCK DISTRICT,64,Male,4152,1127,5279
ATTOCK DISTRICT,64,Female,3905,1070,4975
ATTOCK DISTRICT,64,Transgender,1,0,1
ATTOCK DISTRICT,65,Male,2993,943,3936
ATTOCK DISTRICT,65,Female,2872,848,3720
ATTOCK DISTRICT,65,Transgender,1,0,1
ATTOCK DISTRICT,66,Male,3266,875,4141
ATTOCK DISTRICT,66,Female,3178,765,3943
ATTOCK DISTRICT,66,Transgender,0,0,0
ATTOCK DISTRICT,67,Male,3373,893,4266
ATTOCK DISTRICT,67,Female,3148,681,3829
ATTOCK DISTRICT,67,Transgender,0,0,0
ATTOCK DISTRICT,68,Male,3420,845,4265
ATTOCK DISTRICT,68,Female,3219,790,4009
ATTOCK DISTRICT,68,Transgender,0,0,0
ATTOCK DISTRICT,69,Male,2822,775,3597
ATTOCK DISTRICT,69,Female,2666,680,3346
ATTOCK DISTRICT,69,Transgender,0,0,0
ATTOCK DISTRICT,70,Male,2239,640,2879
ATTOCK DISTRICT,70,Female,2196,585,2781
ATTOCK DISTRICT,70,Transgender,2,1,3
ATTOCK DISTRICT,71,Male,2677,653,3330
ATTOCK DISTRICT,71,Female,2674,640,3314
ATTOCK DISTRICT,71,Transgender,0,0,0
ATTOCK DISTRICT,72,Male,2461,649,3110
ATTOCK DISTRICT,72,Female,2528,617,3145
ATTOCK DISTRICT,72,Transgender,1,1,2
ATTOCK DISTRICT,73,Male,2229,567,2796
ATTOCK DISTRICT,73,Female,2285,571,2856
ATTOCK DISTRICT,73,Transgender,0,0,0
ATTOCK DISTRICT,74,Male,1832,420,2252
ATTOCK DISTRICT,74,Female,1753,405,2158
ATTOCK DISTRICT,74,Transgender,1,0,1
ATTOCK DISTRICT,>=75,Male,13635,3177,16812
ATTOCK DISTRICT,>=75,Female,15243,3564,18807
ATTOCK DISTRICT,>=75,Transgender,8,2,10
AWARAN DISTRICT,<1,Male,1233,327,1560
AWARAN DISTRICT,<1,Female,1317,338,1655
AWARAN DISTRICT,<1,Transgender,0,0,0
AWARAN DISTRICT,1,Male,1196,546,1742
AWARAN DISTRICT,1,Female,1159,492,1651
AWARAN DISTRICT,1,Transgender,0,0,0
AWARAN DISTRICT,2,Male,1498,571,2069
AWARAN DISTRICT,2,Female,1678,562,2240
AWARAN DISTRICT,2,Transgender,0,0,0
AWARAN DISTRICT,3,Male,1328,614,1942
AWARAN DISTRICT,3,Female,1308,604,1912
AWARAN DISTRICT,3,Transgender,0,0,0
AWARAN DISTRICT,4,Male,1871,633,2504
AWARAN DISTRICT,4,Female,1938,644,2582
AWARAN DISTRICT,4,Transgender,0,0,0
AWARAN DISTRICT,5,Male,1459,687,2146
AWARAN DISTRICT,5,Female,1387,565,1952
AWARAN DISTRICT,5,Transgender,0,0,0
AWARAN DISTRICT,6,Male,1975,603,2578
AWARAN DISTRICT,6,Female,1812,584,2396
AWARAN DISTRICT,6,Transgender,0,0,0
AWARAN DISTRICT,7,Male,1481,634,2115
AWARAN DISTRICT,7,Female,1188,507,1695
AWARAN DISTRICT,7,Transgender,0,0,0
AWARAN DISTRICT,8,Male,2143,728,2871
AWARAN DISTRICT,8,Female,1783,603,2386
AWARAN DISTRICT,8,Transgender,0,0,0
AWARAN DISTRICT,9,Male,1380,480,1860
AWARAN DISTRICT,9,Female,1168,447,1615
AWARAN DISTRICT,9,Transgender,0,0,0
AWARAN DISTRICT,10,Male,2130,642,2772
AWARAN DISTRICT,10,Female,1707,548,2255
AWARAN DISTRICT,10,Transgender,0,0,0
AWARAN DISTRICT,11,Male,1042,419,1461
AWARAN DISTRICT,11,Female,799,394,1193
AWARAN DISTRICT,11,Transgender,0,0,0
AWARAN DISTRICT,12,Male,1474,483,1957
AWARAN DISTRICT,12,Female,1177,442,1619
AWARAN DISTRICT,12,Transgender,0,0,0
AWARAN DISTRICT,13,Male,941,432,1373
AWARAN DISTRICT,13,Female,637,333,970
AWARAN DISTRICT,13,Transgender,0,0,0
AWARAN DISTRICT,14,Male,1124,423,1547
