district,group,relationship,total_pop,never_married,married,widowed,divorced
HANGU DISTRICT,OVERALL,Son/Daughter,66035,45922,19738,216,159
HANGU DISTRICT,OVERALL,Daughter / Son In Law,30502,,30181,315,6
HANGU DISTRICT,OVERALL,Grand Son / Grand Daughter,9691,8505,1167,14,5
HANGU DISTRICT,OVERALL,Father/Mother,13632,,8524,5078,30
HANGU DISTRICT,OVERALL,Brother / Sister,23334,12779,10085,337,133
HANGU DISTRICT,OVERALL,Other Relative,38658,11449,25141,1986,82
HANGU DISTRICT,OVERALL,Non-Relative,14704,5985,8367,341,11
HANGU DISTRICT,RURAL,Head,37720,2182,32864,2643,31
HANGU DISTRICT,RURAL,Spouse,29176,,29176,,
HANGU DISTRICT,RURAL,Son/Daughter,50871,35069,15504,174,124
HANGU DISTRICT,RURAL,Daughter / Son In Law,24925,,24671,249,5
HANGU DISTRICT,RURAL,Grand Son / Grand Daughter,8153,7109,1027,13,4
HANGU DISTRICT,RURAL,Father/Mother,11249,,7202,4022,25
HANGU DISTRICT,RURAL,Brother / Sister,18298,10127,7821,242,108
HANGU DISTRICT,RURAL,Other Relative,31408,9148,20555,1635,70
HANGU DISTRICT,RURAL,Non-Relative,11777,4545,6932,289,11
HANGU DISTRICT,URBAN,Head,9997,589,8569,830,9
HANGU DISTRICT,URBAN,Spouse,7924,,7924,,
HANGU DISTRICT,URBAN,Son/Daughter,15164,10853,4234,42,35
HANGU DISTRICT,URBAN,Daughter / Son In Law,5577,,5510,66,1
HANGU DISTRICT,URBAN,Grand Son / Grand Daughter,1538,1396,140,1,1
HANGU DISTRICT,URBAN,Father/Mother,2383,,1322,1056,5
HANGU DISTRICT,URBAN,Brother / Sister,5036,2652,2264,95,25
HANGU DISTRICT,URBAN,Other Relative,7250,2301,4586,351,12
HANGU DISTRICT,URBAN,Non-Relative,2927,1440,1435,52,
KARAK DISTRICT,OVERALL,Head,72752,2820,64847,5007,78
KARAK DISTRICT,OVERALL,Spouse,60199,,60199,,
KARAK DISTRICT,OVERALL,Son/Daughter,123797,91298,31937,236,326
KARAK DISTRICT,OVERALL,Daughter / Son In Law,44145,,43722,408,15
KARAK DISTRICT,OVERALL,Grand Son / Grand Daughter,11016,9715,1287,8,6
KARAK DISTRICT,OVERALL,Father/Mother,15196,,9078,6088,30
KARAK DISTRICT,OVERALL,Brother / Sister,26540,14333,11639,357,211
KARAK DISTRICT,OVERALL,Other Relative,33715,10184,21593,1863,75
KARAK DISTRICT,OVERALL,Non-Relative,11912,4846,6802,257,7
KARAK DISTRICT,RURAL,Head,67434,2492,60176,4695,71
KARAK DISTRICT,RURAL,Spouse,55705,,55705,,
KARAK DISTRICT,RURAL,Son/Daughter,114899,84689,29673,221,316
KARAK DISTRICT,RURAL,Daughter / Son In Law,41623,,41232,376,15
KARAK DISTRICT,RURAL,Grand Son / Grand Daughter,10409,9165,1230,8,6
KARAK DISTRICT,RURAL,Father/Mother,13676,,8110,5539,27
KARAK DISTRICT,RURAL,Brother / Sister,23707,12723,10459,323,202
KARAK DISTRICT,RURAL,Other Relative,30980,9459,19714,1733,74
KARAK DISTRICT,RURAL,Non-Relative,10960,4483,6247,225,5
KARAK DISTRICT,URBAN,Head,5318,328,4671,312,7
KARAK DISTRICT,URBAN,Spouse,4494,,4494,,
KARAK DISTRICT,URBAN,Son/Daughter,8898,6609,2264,15,10
KARAK DISTRICT,URBAN,Daughter / Son In Law,2522,,2490,32,
KARAK DISTRICT,URBAN,Grand Son / Grand Daughter,607,550,57,,
KARAK DISTRICT,URBAN,Father/Mother,1520,,968,549,3
KARAK DISTRICT,URBAN,Brother / Sister,2833,1610,1180,34,9
KARAK DISTRICT,URBAN,Other Relative,2735,725,1879,130,1
KARAK DISTRICT,URBAN,Non-Relative,952,363,555,32,2
KOHAT DISTRICT,OVERALL,Head,119349,5555,105420,8194,180
KOHAT DISTRICT,OVERALL,Spouse,96861,,96861,,
KOHAT DISTRICT,OVERALL,Son/Daughter,158435,116806,40458,611,560
KOHAT DISTRICT,OVERALL,Daughter / Son In Law,53975,,53487,460,28
KOHAT DISTRICT,OVERALL,Grand Son / Grand Daughter,13065,11594,1444,17,10
KOHAT DISTRICT,OVERALL,Father/Mother,29200,,19145,9917,138
KOHAT DISTRICT,OVERALL,Brother / Sister,37575,21054,15603,651,267
KOHAT DISTRICT,OVERALL,Other Relative,53917,15851,35031,2905,130
KOHAT DISTRICT,OVERALL,Non-Relative,25219,12389,12487,331,12
KOHAT DISTRICT,RURAL,Head,84629,3650,74998,5850,131
KOHAT DISTRICT,RURAL,Spouse,68202,,68202,,
KOHAT DISTRICT,RURAL,Son/Daughter,111183,80897,29427,427,432
KOHAT DISTRICT,RURAL,Daughter / Son In Law,42194,,41790,381,23
KOHAT DISTRICT,RURAL,Grand Son / Grand Daughter,10502,9275,1203,14,10
KOHAT DISTRICT,RURAL,Father/Mother,21640,,14462,7079,99
KOHAT DISTRICT,RURAL,Brother / Sister,26297,14589,11059,456,193
KOHAT DISTRICT,RURAL,Other Relative,40626,11585,26679,2271,91
KOHAT DISTRICT,RURAL,Non-Relative,11154,4491,6417,238,8
KOHAT DISTRICT,URBAN,Head,34720,1905,30422,2344,49
KOHAT DISTRICT,URBAN,Spouse,28659,,28659,,
KOHAT DISTRICT,URBAN,Son/Daughter,47252,35909,11031,184,128
KOHAT DISTRICT,URBAN,Daughter / Son In Law,11781,,11697,79,5
KOHAT DISTRICT,URBAN,Grand Son / Grand Daughter,2563,2319,241,3,
KOHAT DISTRICT,URBAN,Father/Mother,7560,,4683,2838,39
KOHAT DISTRICT,URBAN,Brother / Sister,11278,6465,4544,195,74
KOHAT DISTRICT,URBAN,Other Relative,13291,4266,8352,634,39
KOHAT DISTRICT,URBAN,Non-Relative,14065,7898,6070,93,4
MARDAN DISTRICT,OVERALL,Head,308287,9526,284059,14568,134
MARDAN DISTRICT,OVERALL,Spouse,271108,,271108,,
MARDAN DISTRICT,OVERALL,Son/Daughter,426047,329164,95266,1059,558
MARDAN DISTRICT,OVERALL,Daughter / Son In Law,116283,,115584,682,17
MARDAN DISTRICT,OVERALL,Grand Son / Grand Daughter,18663,17037,1606,16,4
MARDAN DISTRICT,OVERALL,Father/Mother,50549,,23867,26641,41
MARDAN DISTRICT,OVERALL,Brother / Sister,81765,50384,29796,1324,261
MARDAN DISTRICT,OVERALL,Other Relative,73527,20035,49134,4283,75
MARDAN DISTRICT,OVERALL,Non-Relative,24561,13164,10986,396,15
MARDAN DISTRICT,RURAL,Head,249637,7551,230335,11647,104
MARDAN DISTRICT,RURAL,Spouse,219625,,219625,,
