district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
CHAKWAL DISTRICT,RURAL,4 PERSONS,3427,11056,9572,5244,1973,904,360,176,197
CHAKWAL DISTRICT,RURAL,5 PERSONS,3270,11837,11141,6470,2566,1198,507,250,217
CHAKWAL DISTRICT,RURAL,6 PERSONS,2197,9185,9765,6301,2482,1254,492,278,239
CHAKWAL DISTRICT,RURAL,7 PERSONS,1227,5697,6842,4915,2098,1080,470,271,261
CHAKWAL DISTRICT,RURAL,8 PERSONS,606,3159,4064,3274,1581,943,371,265,259
CHAKWAL DISTRICT,RURAL,9 PERSONS,313,1547,2316,2166,1107,712,300,197,225
CHAKWAL DISTRICT,RURAL,10 PERSONS AND ABOVE,387,1913,3622,3952,2568,1973,961,728,1115
CHAKWAL DISTRICT,URBAN,1 PERSON,611,502,291,135,59,20,10,11,18
CHAKWAL DISTRICT,URBAN,2 PERSONS,819,1346,891,340,109,56,29,19,18
CHAKWAL DISTRICT,URBAN,3 PERSONS,856,1821,1378,579,165,84,38,24,26
CHAKWAL DISTRICT,URBAN,4 PERSONS,986,2647,2195,926,318,129,58,39,26
CHAKWAL DISTRICT,URBAN,5 PERSONS,915,2939,2802,1179,390,177,80,42,47
CHAKWAL DISTRICT,URBAN,6 PERSONS,619,2415,2428,1151,381,210,77,59,50
CHAKWAL DISTRICT,URBAN,7 PERSONS,324,1419,1611,844,341,169,73,43,32
CHAKWAL DISTRICT,URBAN,8 PERSONS,185,787,1016,625,260,135,65,48,39
CHAKWAL DISTRICT,URBAN,9 PERSONS,110,450,636,425,183,117,43,22,23
CHAKWAL DISTRICT,URBAN,10 PERSONS AND ABOVE,134,639,1183,1087,659,435,206,164,168
CHARSADDA  DISTRICT,RURAL,1 PERSON,1163,369,180,134,50,25,13,8,11
CHARSADDA  DISTRICT,RURAL,2 PERSONS,5505,2049,699,384,134,63,42,24,31
CHARSADDA  DISTRICT,RURAL,3 PERSONS,6804,3272,1191,607,216,147,74,33,47
CHARSADDA  DISTRICT,RURAL,4 PERSONS,8062,5361,2028,921,326,149,116,42,52
CHARSADDA  DISTRICT,RURAL,5 PERSONS,8815,7897,3059,1450,401,212,106,57,60
CHARSADDA  DISTRICT,RURAL,6 PERSONS,8139,9815,4309,1833,573,281,135,62,83
CHARSADDA  DISTRICT,RURAL,7 PERSONS,6000,9689,4601,1975,681,280,139,55,76
CHARSADDA  DISTRICT,RURAL,8 PERSONS,3670,7745,4471,1907,582,245,136,49,75
CHARSADDA  DISTRICT,RURAL,9 PERSONS,1836,5014,3567,1742,566,237,105,55,77
CHARSADDA  DISTRICT,RURAL,10 PERSONS AND ABOVE,1996,7216,9752,8687,4459,2611,1057,621,658
